economy,year,gdp_per_capita,gdp_growth_rate,unemployment_rate,inflation_rate,life_expectancy_at_birth,infant_mortality_rate,population_growth_rate,literacy_rate,govt_expenditure_on_education,pupil_teacher_ratio
AUS,2000,45858.5800928021,3.92151782931303,6.288,4.45743514797224,79.2341463414634,6.2,1.14447285147721,,4.75933980941772,
AUS,2001,46190.3812078014,2.02512731541893,6.747,4.40713536201469,79.6341463414634,6.1,1.28396809127349,,5.22261571884155,
AUS,2002,47485.3410904497,3.97963375579748,6.375,2.98157453936348,79.9365853658537,6.0,1.1375387361946,,5.30569648742676,
AUS,2003,48393.1367217128,3.09068718165635,5.933,2.73259596616786,80.2390243902439,5.9,1.15019273319182,,5.24525785446167,
AUS,2004,49901.0152957826,4.22432172716931,5.399,2.34325522482583,80.490243902439,5.8,1.06919812205752,,5.19307231903076,
AUS,2005,50852.1612015639,3.15413925672789,5.036,2.69183168316832,80.8414634146341,5.7,1.21729073052406,,5.27187633514404,
AUS,2006,51552.8938296061,2.75529824273126,4.785,3.55528773727026,81.0414634146342,5.6,1.34945083098893,,5.16309022903442,
AUS,2007,52530.7018930125,3.77339268108837,4.381,2.32761128891476,81.2926829268293,5.4,1.82499679529254,,4.96966886520386,
AUS,2008,53335.0057039403,3.58622797986055,4.242,4.35029854990048,81.3951219512195,5.2,2.00391140524272,,4.9018235206604,
AUS,2009,53235.9235822531,1.89257360858259,5.565,1.77111716621254,81.5439024390244,5.0,2.06083316277243,,5.39640665054321,
AUS,2010,53581.1585830189,2.22653807797504,5.214,2.91834002677376,81.6951219512195,4.8,1.55570626204128,,6.15043640136719,
AUS,2011,54114.7261907858,2.40897178005686,5.083,3.3038501560874,81.8951219512195,4.5,1.38952731561803,,6.00601577758789,
AUS,2012,55261.9183780127,3.91840962538336,5.225,1.76278015613196,82.0463414634146,4.3,1.74582000067359,,5.55924797058105,
AUS,2013,55734.5743411489,2.60619844706027,5.663,2.4498886414254,82.1487804878049,4.1,1.721151439989,,5.5196270942688,
AUS,2014,56341.1341492724,2.60740103188527,6.078,2.48792270531404,82.3,4.0,1.49156648912847,,5.4375524520874,
AUS,2015,56758.8692027821,2.20181015336807,6.055,1.50836672165921,82.4,3.9,1.43921665259925,,5.46285820007324,
AUS,2016,57432.1802853452,2.77914262537222,5.711,1.27699094497324,82.4487804878049,3.8,1.56194049810399,,5.43038558959961,
AUS,2017,57804.0509065758,2.31870938698817,5.592,1.94864740944527,82.5,3.8,1.64682779735017,,5.32125568389893,
AUS,2018,58600.7903562771,2.90636311509867,5.3,1.91140094445691,82.7487804878049,3.8,1.49599671041328,,5.40967607498169,
AUS,2019,59000.7354442453,2.1811091061096,5.159,1.61076787290379,82.9,3.8,1.47749071058438,,5.50858879089355,
AUS,2020,58082.4265799182,-0.33468635945016,6.456,0.846905537459305,83.2,3.8,1.23342825131378,,5.37828016281128,
AUS,2021,59225.5245403582,2.11183088925151,5.116,2.86391042204994,83.3,3.8,0.14089508329287,,5.33320999145508,
AUS,2022,60972.8703431498,4.26894639349867,3.701,6.59409671341846,83.2,3.8,1.27269881377618,,5.20677661895752,
BRA,2000,6745.85777056386,4.38794944745618,10.892,7.04414105947266,69.737,34.6,1.36677132973907,86.0,3.94893002510071,24.79699
BRA,2001,6749.88160346537,1.38989640095637,10.649,6.84035902487523,70.195,32.4,1.32069475807143,,3.84468007087708,22.97087
BRA,2002,6868.69590695211,3.05346185909312,10.641,8.45016437708331,70.41,30.3,1.26284153622856,,3.75037002563477,22.35331
BRA,2003,6865.17325047655,1.14082899824888,11.169,14.7149197228147,70.72,28.3,1.18566943930002,,,21.56753
BRA,2004,7178.34748516711,5.75996463670954,10.072,6.59718509985963,71.131,26.4,1.13939301199192,89.0,3.97447991371155,21.38676
BRA,2005,7325.90355034829,3.20213206130431,10.551,6.86953720898964,71.753,24.7,1.11720287765336,,4.47908020019531,21.04365
BRA,2006,7534.54250017952,3.96198871122617,9.692,4.18356812896909,72.037,23.2,1.07735384590771,90.0,4.87060022354126,
BRA,2007,7909.82524736396,6.06987060678338,9.28,3.64127299102652,72.365,21.8,1.03202723327326,90.0,4.97425985336304,23.85828
BRA,2008,8231.10037274506,5.09419544658736,8.268,5.67859390284168,72.715,20.6,0.987284202776065,90.0,5.26883983612061,23.02467
BRA,2009,8142.76104834465,-0.125812002161169,9.419,4.88803479876799,72.948,19.5,0.953147864558066,90.0,5.46355009078979,22.64411
BRA,2010,8673.89838344205,7.52822581815364,8.424,5.03872690108075,73.182,18.6,0.93941802248079,90.0,5.64879989624023,22.16609
BRA,2011,8935.27731401951,3.97442307944702,7.578,6.6364496221309,73.343,17.9,0.928589629509177,91.0,5.73741006851196,21.28507
BRA,2012,9025.31399621852,1.92117598576537,7.251,5.40349914036997,73.552,17.2,0.900343360601223,91.0,5.85510015487671,20.51712
BRA,2013,9216.13227969168,3.00482266944432,7.071,6.20431066640101,73.918,16.7,0.868346150167205,91.0,5.8388500213623,21.22749
BRA,2014,9183.4597265639,0.503955740242247,6.755,6.32904015516139,74.306,16.3,0.857834828724811,92.0,5.94848012924194,20.91814
BRA,2015,8783.2154236384,-3.54576339269425,8.538,9.02990102416136,74.332,15.9,0.845992601345206,92.0,6.24105978012085,20.58529
BRA,2016,8426.84322068885,-3.27591690782192,11.58,8.73914352329393,74.442,16.7,0.8112564782781,93.0,6.314040184021,20.31899
BRA,2017,8470.94060378721,1.32286905404399,12.792,3.44637335032669,74.827,15.3,0.79226340042227,93.0,6.32047986984253,20.22308
BRA,2018,8553.86590205122,1.783666761634,12.33,3.66485028376729,75.109,15.0,0.793768153848091,93.0,6.08851003646851,
BRA,2019,8592.21120694388,1.22077782360842,11.936,3.73297621216894,75.338,14.8,0.766107802084815,,5.96346998214722,
BRA,2020,8255.56801342826,-3.2767587964736,13.697,3.21176803803376,74.009,14.5,0.665176682246802,,5.77150011062622,
BRA,2021,8603.1522144281,4.76260437908608,13.159,8.30165975585673,72.75,14.3,0.528590452919416,,5.4969801902771,
BRA,2022,8822.04504268033,3.01669435393015,9.231,9.28010608956873,73.425,14.0,0.459583548488331,94.6900024414062,,
CHN,2000,2193.89686642215,8.49009340597647,3.26,0.347811226864587,71.881,36.7,0.787956592953992,91.0,,
CHN,2001,2359.57238513523,8.33573347817196,3.8,0.719125609120114,72.606,34.1,0.726380637838525,,,22.20572
CHN,2002,2557.89161202627,9.13363078966614,4.24,-0.731970902350244,72.985,31.5,0.669999567758626,,,
CHN,2003,2797.17665912283,10.0380304810393,4.58,1.12760348729637,73.371,28.9,0.622860936133583,,,
CHN,2004,3061.83317262874,10.1136213776263,4.49,3.82463743108159,73.748,26.3,0.593932815112141,,,
CHN,2005,3390.71615945044,11.3945918098927,4.52,1.77641407667571,74.111,24.0,0.588124989556992,,2.39190554618835,
CHN,2006,3800.76579592591,12.7209556654032,4.43,1.6494309945586,74.504,21.9,0.558374367373002,,2.44128441810608,18.25192
CHN,2007,4319.03139751247,14.2308609331955,4.35,4.81676767378834,74.762,20.1,0.522271866392275,,2.70073485374451,17.68203
CHN,2008,4711.64344921263,9.65067891939361,4.59,5.92525137041092,74.872,18.5,0.51238693163744,,3.63178825378418,17.55452
CHN,2009,5128.90412774381,9.39872563259674,4.72,-0.728165250932898,75.343,17.0,0.497381400884935,,3.75152206420898,17.21563
CHN,2010,5647.06872713954,10.6358710644913,4.53,3.17532475269199,75.599,15.7,0.482959688678361,95.0,3.55966520309448,16.84376
CHN,2011,6152.69687271855,9.55083217877568,4.55,5.55389892257493,75.903,14.6,0.546457594880274,,3.80921697616577,16.78841
CHN,2012,6591.66249405644,7.86373644862111,4.58,2.61952432645541,76.192,13.5,0.678345458846803,,4.29788875579834,16.84872
CHN,2013,7056.42309152349,7.76615009773009,4.6,2.62105001748115,76.452,12.5,0.666072977690069,,4.1298041343689,16.85343
CHN,2014,7532.78530130172,7.42576365632412,4.63,1.92164162788521,76.717,11.5,0.630326389541893,,4.10536003112793,16.23079
CHN,2015,8016.44559489998,7.04132887873656,4.65,1.43702380935655,76.977,10.7,0.581456146657648,,4.24201250076294,16.29441
CHN,2016,8516.52874235572,6.84876220495761,4.56,2.00000182191943,77.218,9.9,0.573050906069647,,4.20638513565063,16.54936
CHN,2017,9053.22872461936,6.94720079331685,4.47,1.59313600071436,77.248,9.2,0.605245013482969,,4.11133146286011,16.59383
CHN,2018,9619.20947510677,6.7497738324959,4.31,2.07479039965576,77.744,8.6,0.467672053461959,,4.02442407608032,16.42675
CHN,2019,10155.5108830542,5.95050075367413,4.56,2.89923416358227,77.968,8.0,0.354740890170827,,4.05939483642578,
CHN,2020,10358.1699971792,2.23863835634639,5.0,2.41942189457782,78.077,7.5,0.238040870229883,97.0,4.2333812713623,
CHN,2021,11223.2553476968,8.44846941687277,4.55,0.981015135544882,78.211,7.0,0.0892522000412526,,3.98832511901855,
CHN,2022,11560.2421221334,2.98908408613474,4.98,1.97357555739051,78.587,6.6,-0.0130995013525784,,4.02356958389282,
DEU,2000,34490.0757688619,2.91250296366708,7.917,1.44026838719741,77.9268292682927,5.4,0.135431600393084,,4.06815242767334,15.28331
DEU,2001,35011.068457503,1.68146848097079,7.773,1.98385731334471,78.3292682926829,5.2,0.168225361337335,,4.14708137512207,14.76453
DEU,2002,34883.0580735445,-0.197973834771361,8.482,1.42080615551526,78.2292682926829,5.1,0.168128319406931,,4.16305732727051,14.29354
DEU,2003,34619.6640670185,-0.700116686114356,9.779,1.03422218628562,78.3804878048781,5.0,0.0553633035873241,,4.17101860046387,14.04776
DEU,2004,35034.0806086181,1.17508813160987,10.727,1.66573696655992,78.6804878048781,4.8,-0.021709727650009,,4.10064888000488,14.19004
DEU,2005,35310.4704669272,0.731707163554191,11.167,1.54691114751328,78.9317073170732,4.7,-0.0567782618352031,,4.10731077194214,14.12233
DEU,2006,36699.446781036,3.816441912988,10.25,1.57742642840563,79.1317073170732,4.6,-0.112797497644931,,4.02527379989624,13.96375
DEU,2007,37842.3577913563,2.97645513131597,8.658,2.29834400700951,79.5341463414634,4.5,-0.133718572600486,,3.92246603965759,13.62843
DEU,2008,38278.3130082531,0.95987913356484,7.525,2.62837981637219,79.7365853658537,4.4,-0.190142844695674,,4.54924011230469,13.49743
DEU,2009,36190.3928860698,-5.69383633640285,7.742,0.312739007368447,79.8365853658537,4.3,-0.253383410163402,,4.34005403518677,13.00225
DEU,2010,37760.9136283996,4.17988249873657,6.967,1.1038103778926,79.9878048780488,4.2,-0.153198446937304,,5.09588003158569,12.68383
DEU,2011,39977.3417095357,3.92519270463411,5.825,2.07517283735874,80.4365853658537,4.1,-1.8537146287573,,4.98425006866455,11.82415
DEU,2012,40069.3539560742,0.418497594217598,5.379,2.00848884782956,80.5390243902439,4.0,0.187727800567293,,4.92844009399414,11.71402
DEU,2013,40135.0158319837,0.437591303144671,5.231,1.50472330251876,80.490243902439,4.0,0.272900214681538,,4.93538999557495,11.58027
DEU,2014,40851.1617304855,2.20954343134872,4.981,0.906794000434246,81.090243902439,4.0,0.416877359168292,,4.92102003097534,12.29942
DEU,2015,41103.2564363768,1.49193152760772,4.624,0.514426137125456,80.6414634146341,3.9,0.865702643950251,,4.85515022277832,12.22305
DEU,2016,41682.0322433511,2.22999986782015,4.122,0.491747008445174,80.990243902439,3.9,0.807218538573871,,4.83923006057739,12.14626
DEU,2017,42639.5544087286,2.68023111405891,3.746,1.50949485109628,80.9926829268293,3.9,0.373724559895838,,4.87182998657227,12.30285
DEU,2018,42928.7412368012,0.981232606004738,3.384,1.73216879766942,80.8926829268293,3.8,0.300526701992065,,4.97933006286621,
DEU,2019,43292.6838917385,1.07547163576423,3.136,1.44565976888253,81.2926829268293,3.7,0.22551987421288,,5.11552000045776,
DEU,2020,41601.9731563516,-3.82676871619293,3.856,0.144877925813982,81.0414634146342,3.7,0.0816931586494595,,5.59038019180298,
DEU,2021,42900.0225187383,3.16381994194575,3.638,3.06666666666673,80.790243902439,3.6,0.0423270572552137,,5.45488977432251,
DEU,2022,43361.1771204321,1.80620896724351,3.135,6.87257438551097,80.7056097560976,3.6,0.720875455989295,,4.54389047622681,
ETH,2000,258.870525025929,6.07321747957957,3.502,0.662458109266482,50.538,141.2,2.95880518919236,,3.88614988327026,67.33913
ETH,2001,272.288550858967,8.30130632052328,3.174,-8.23784453391137,51.043,135.0,2.92127105923873,,3.7002899646759,
ETH,2002,268.423601807101,1.51472570631101,3.061,0.675089102170801,51.517,128.6,2.93296991314103,,3.63245010375977,
ETH,2003,255.1002658482,-2.16135972205798,3.002,13.6740452028272,52.533,122.2,2.90590770385319,,,
ETH,2004,281.520325336973,13.5726031368695,2.771,3.32737047894847,53.235,115.8,2.87241402666675,35.9000015258789,,
ETH,2005,305.979354951405,11.8187659466494,2.497,9.96997123512892,54.008,109.5,2.83962299391293,29.8203392028809,,
ETH,2006,329.679278769055,10.834727065877,2.346,12.2994763114825,55.149,103.3,2.82672932299161,,5.49096012115479,
ETH,2007,357.117931473262,11.4561670000236,2.344,17.2404008340898,56.426,97.6,2.85154384116412,39.0,5.45112991333008,
ETH,2008,384.572658365366,10.7885216853725,2.333,44.3566858766952,57.592,92.2,2.83863160180599,,5.40819978713989,62.28293
ETH,2009,406.856927938661,8.80255319782566,2.331,8.48364404530282,58.804,87.2,2.80357593483215,,4.42207002639771,57.9406
ETH,2010,445.182335585895,12.5505383459308,2.299,8.14926402965082,59.73,82.5,2.82098186260834,,4.49659013748169,54.05852
ETH,2011,481.037857252846,11.1782962271641,2.274,33.2499598823344,60.721,78.1,2.85029677836164,,5.48576021194458,55.06929
ETH,2012,508.065709672884,8.64781163337416,2.255,23.600417677317,61.543,73.9,2.82765624318832,,5.56678009033203,
ETH,2013,546.592835036965,10.5822700482672,2.251,7.46402192944517,62.373,70.1,2.74962070654197,,4.82446432113647,
ETH,2014,586.573613503707,10.2574929610051,2.364,6.89001951597192,62.905,66.5,2.70542811266671,,4.79265069961548,
ETH,2015,630.312619383054,10.3924630202334,2.45,9.56889955968623,63.649,63.1,2.69539316663887,,5.15336132049561,
ETH,2016,671.290575859576,9.43348265784402,2.566,6.62813337230924,64.392,59.9,2.71605397227228,47.4915885925293,5.06151390075684,
ETH,2017,715.748734748932,9.56418964295607,2.678,10.6871150284238,64.838,56.9,2.72133142564532,51.7711791992188,5.49905061721802,
ETH,2018,744.367520290091,6.81614779681703,2.825,13.8330356586661,65.412,54.3,2.67332102071494,,5.22011184692383,
ETH,2019,785.48497203795,8.3640856990789,2.945,15.8096321719344,65.838,52.1,2.656010133459,,4.48086929321289,
ETH,2020,811.255539909268,6.05953088643369,4.024,20.3563468559061,65.371,49.9,2.65485915620519,,4.09056520462036,
ETH,2021,834.991291370409,5.64153071734657,3.935,26.8395221557722,64.975,48.0,2.60431928274974,,4.06524896621704,
