value,series,economy,aggregate,time,indicator
1383.2331296118,NY.GDP.PCAP.KD,ZWE,False,YR2023,NY.GDP.PCAP.KD
1345.76908251471,NY.GDP.PCAP.KD,ZWE,False,YR2022,NY.GDP.PCAP.KD
1289.19906693257,NY.GDP.PCAP.KD,ZWE,False,YR2021,NY.GDP.PCAP.KD
1213.11705725994,NY.GDP.PCAP.KD,ZWE,False,YR2020,NY.GDP.PCAP.KD
1342.98958637234,NY.GDP.PCAP.KD,ZWE,False,YR2019,NY.GDP.PCAP.KD
1462.59027890974,NY.GDP.PCAP.KD,ZWE,False,YR2018,NY.GDP.PCAP.KD
1421.24076910146,NY.GDP.PCAP.KD,ZWE,False,YR2017,NY.GDP.PCAP.KD
1393.71701048588,NY.GDP.PCAP.KD,ZWE,False,YR2016,NY.GDP.PCAP.KD
1410.32917348908,NY.GDP.PCAP.KD,ZWE,False,YR2015,NY.GDP.PCAP.KD
1412.20401160588,NY.GDP.PCAP.KD,ZWE,False,YR2014,NY.GDP.PCAP.KD
1422.37670995775,NY.GDP.PCAP.KD,ZWE,False,YR2013,NY.GDP.PCAP.KD
1408.45716699407,NY.GDP.PCAP.KD,ZWE,False,YR2012,NY.GDP.PCAP.KD
1239.24179333501,NY.GDP.PCAP.KD,ZWE,False,YR2011,NY.GDP.PCAP.KD
1096.83547804464,NY.GDP.PCAP.KD,ZWE,False,YR2010,NY.GDP.PCAP.KD
914.494574024655,NY.GDP.PCAP.KD,ZWE,False,YR2009,NY.GDP.PCAP.KD
824.791701911315,NY.GDP.PCAP.KD,ZWE,False,YR2008,NY.GDP.PCAP.KD
1009.82746528596,NY.GDP.PCAP.KD,ZWE,False,YR2007,NY.GDP.PCAP.KD
1058.32555885649,NY.GDP.PCAP.KD,ZWE,False,YR2006,NY.GDP.PCAP.KD
1105.75511935813,NY.GDP.PCAP.KD,ZWE,False,YR2005,NY.GDP.PCAP.KD
1178.89023072946,NY.GDP.PCAP.KD,ZWE,False,YR2004,NY.GDP.PCAP.KD
1260.39113645537,NY.GDP.PCAP.KD,ZWE,False,YR2003,NY.GDP.PCAP.KD
1530.00643738786,NY.GDP.PCAP.KD,ZWE,False,YR2002,NY.GDP.PCAP.KD
1689.75642648352,NY.GDP.PCAP.KD,ZWE,False,YR2001,NY.GDP.PCAP.KD
1676.51546030826,NY.GDP.PCAP.KD,ZWE,False,YR2000,NY.GDP.PCAP.KD
1746.87205853609,NY.GDP.PCAP.KD,ZWE,False,YR1999,NY.GDP.PCAP.KD
1786.91206284567,NY.GDP.PCAP.KD,ZWE,False,YR1998,NY.GDP.PCAP.KD
1765.22706124487,NY.GDP.PCAP.KD,ZWE,False,YR1997,NY.GDP.PCAP.KD
1747.47739595142,NY.GDP.PCAP.KD,ZWE,False,YR1996,NY.GDP.PCAP.KD
1609.94310996369,NY.GDP.PCAP.KD,ZWE,False,YR1995,NY.GDP.PCAP.KD
1627.45328622788,NY.GDP.PCAP.KD,ZWE,False,YR1994,NY.GDP.PCAP.KD
1498.64985382503,NY.GDP.PCAP.KD,ZWE,False,YR1993,NY.GDP.PCAP.KD
1504.43714031281,NY.GDP.PCAP.KD,ZWE,False,YR1992,NY.GDP.PCAP.KD
1695.52396967151,NY.GDP.PCAP.KD,ZWE,False,YR1991,NY.GDP.PCAP.KD
1648.57318068635,NY.GDP.PCAP.KD,ZWE,False,YR1990,NY.GDP.PCAP.KD
1582.75676610033,NY.GDP.PCAP.KD,ZWE,False,YR1989,NY.GDP.PCAP.KD
1548.1740622777,NY.GDP.PCAP.KD,ZWE,False,YR1988,NY.GDP.PCAP.KD
1484.65003059383,NY.GDP.PCAP.KD,ZWE,False,YR1987,NY.GDP.PCAP.KD
1515.86984475934,NY.GDP.PCAP.KD,ZWE,False,YR1986,NY.GDP.PCAP.KD
1534.68170066911,NY.GDP.PCAP.KD,ZWE,False,YR1985,NY.GDP.PCAP.KD
1484.91173164954,NY.GDP.PCAP.KD,ZWE,False,YR1984,NY.GDP.PCAP.KD
1568.35269565427,NY.GDP.PCAP.KD,ZWE,False,YR1983,NY.GDP.PCAP.KD
1603.72287869737,NY.GDP.PCAP.KD,ZWE,False,YR1982,NY.GDP.PCAP.KD
1624.4524763882,NY.GDP.PCAP.KD,ZWE,False,YR1981,NY.GDP.PCAP.KD
1537.13065554399,NY.GDP.PCAP.KD,ZWE,False,YR1980,NY.GDP.PCAP.KD
1422.94589279007,NY.GDP.PCAP.KD,ZWE,False,YR1979,NY.GDP.PCAP.KD
1399.92513743591,NY.GDP.PCAP.KD,ZWE,False,YR1978,NY.GDP.PCAP.KD
1460.34806058742,NY.GDP.PCAP.KD,ZWE,False,YR1977,NY.GDP.PCAP.KD
1608.97311979768,NY.GDP.PCAP.KD,ZWE,False,YR1976,NY.GDP.PCAP.KD
1651.77865824722,NY.GDP.PCAP.KD,ZWE,False,YR1975,NY.GDP.PCAP.KD
1739.52800475255,NY.GDP.PCAP.KD,ZWE,False,YR1974,NY.GDP.PCAP.KD
1685.93644678006,NY.GDP.PCAP.KD,ZWE,False,YR1973,NY.GDP.PCAP.KD
1696.55500244643,NY.GDP.PCAP.KD,ZWE,False,YR1972,NY.GDP.PCAP.KD
1615.57201739023,NY.GDP.PCAP.KD,ZWE,False,YR1971,NY.GDP.PCAP.KD
1529.05596478972,NY.GDP.PCAP.KD,ZWE,False,YR1970,NY.GDP.PCAP.KD
1286.80946413388,NY.GDP.PCAP.KD,ZWE,False,YR1969,NY.GDP.PCAP.KD
1181.52701969425,NY.GDP.PCAP.KD,ZWE,False,YR1968,NY.GDP.PCAP.KD
1195.81239934246,NY.GDP.PCAP.KD,ZWE,False,YR1967,NY.GDP.PCAP.KD
1138.63466400451,NY.GDP.PCAP.KD,ZWE,False,YR1966,NY.GDP.PCAP.KD
1157.20740089049,NY.GDP.PCAP.KD,ZWE,False,YR1965,NY.GDP.PCAP.KD
1138.05410946995,NY.GDP.PCAP.KD,ZWE,False,YR1964,NY.GDP.PCAP.KD
1187.25274461695,NY.GDP.PCAP.KD,ZWE,False,YR1963,NY.GDP.PCAP.KD
1152.83567436667,NY.GDP.PCAP.KD,ZWE,False,YR1962,NY.GDP.PCAP.KD
1172.37910735551,NY.GDP.PCAP.KD,ZWE,False,YR1961,NY.GDP.PCAP.KD
1137.39058510898,NY.GDP.PCAP.KD,ZWE,False,YR1960,NY.GDP.PCAP.KD
1347.24133838697,NY.GDP.PCAP.KD,ZMB,False,YR2023,NY.GDP.PCAP.KD
1308.10183847533,NY.GDP.PCAP.KD,ZMB,False,YR2022,NY.GDP.PCAP.KD
1277.61202929094,NY.GDP.PCAP.KD,ZMB,False,YR2021,NY.GDP.PCAP.KD
1237.28330318262,NY.GDP.PCAP.KD,ZMB,False,YR2020,NY.GDP.PCAP.KD
1310.62222427718,NY.GDP.PCAP.KD,ZMB,False,YR2019,NY.GDP.PCAP.KD
1331.44924435525,NY.GDP.PCAP.KD,ZMB,False,YR2018,NY.GDP.PCAP.KD
1319.60777747699,NY.GDP.PCAP.KD,ZMB,False,YR2017,NY.GDP.PCAP.KD
1314.97707465878,NY.GDP.PCAP.KD,ZMB,False,YR2016,NY.GDP.PCAP.KD
1307.90964916032,NY.GDP.PCAP.KD,ZMB,False,YR2015,NY.GDP.PCAP.KD
1312.01443347626,NY.GDP.PCAP.KD,ZMB,False,YR2014,NY.GDP.PCAP.KD
1294.55899759417,NY.GDP.PCAP.KD,ZMB,False,YR2013,NY.GDP.PCAP.KD
1273.21487461326,NY.GDP.PCAP.KD,ZMB,False,YR2012,NY.GDP.PCAP.KD
1223.03292659306,NY.GDP.PCAP.KD,ZMB,False,YR2011,NY.GDP.PCAP.KD
1198.30481681425,NY.GDP.PCAP.KD,ZMB,False,YR2010,NY.GDP.PCAP.KD
1125.08904783298,NY.GDP.PCAP.KD,ZMB,False,YR2009,NY.GDP.PCAP.KD
1067.38680158541,NY.GDP.PCAP.KD,ZMB,False,YR2008,NY.GDP.PCAP.KD
1026.40160319917,NY.GDP.PCAP.KD,ZMB,False,YR2007,NY.GDP.PCAP.KD
981.345474303646,NY.GDP.PCAP.KD,ZMB,False,YR2006,NY.GDP.PCAP.KD
941.446954097196,NY.GDP.PCAP.KD,ZMB,False,YR2005,NY.GDP.PCAP.KD
907.493697320447,NY.GDP.PCAP.KD,ZMB,False,YR2004,NY.GDP.PCAP.KD
875.254433264127,NY.GDP.PCAP.KD,ZMB,False,YR2003,NY.GDP.PCAP.KD
844.092010983109,NY.GDP.PCAP.KD,ZMB,False,YR2002,NY.GDP.PCAP.KD
832.765719240249,NY.GDP.PCAP.KD,ZMB,False,YR2001,NY.GDP.PCAP.KD
814.772965457523,NY.GDP.PCAP.KD,ZMB,False,YR2000,NY.GDP.PCAP.KD
806.208677651185,NY.GDP.PCAP.KD,ZMB,False,YR1999,NY.GDP.PCAP.KD
790.835580952201,NY.GDP.PCAP.KD,ZMB,False,YR1998,NY.GDP.PCAP.KD
814.696863165105,NY.GDP.PCAP.KD,ZMB,False,YR1997,NY.GDP.PCAP.KD
805.141934418878,NY.GDP.PCAP.KD,ZMB,False,YR1996,NY.GDP.PCAP.KD
777.023302446701,NY.GDP.PCAP.KD,ZMB,False,YR1995,NY.GDP.PCAP.KD
773.847784821638,NY.GDP.PCAP.KD,ZMB,False,YR1994,NY.GDP.PCAP.KD
867.713034379999,NY.GDP.PCAP.KD,ZMB,False,YR1993,NY.GDP.PCAP.KD
832.267133528515,NY.GDP.PCAP.KD,ZMB,False,YR1992,NY.GDP.PCAP.KD
867.762415451368,NY.GDP.PCAP.KD,ZMB,False,YR1991,NY.GDP.PCAP.KD
889.993124152637,NY.GDP.PCAP.KD,ZMB,False,YR1990,NY.GDP.PCAP.KD
917.589129991715,NY.GDP.PCAP.KD,ZMB,False,YR1989,NY.GDP.PCAP.KD
952.109297884366,NY.GDP.PCAP.KD,ZMB,False,YR1988,NY.GDP.PCAP.KD
920.987181477306,NY.GDP.PCAP.KD,ZMB,False,YR1987,NY.GDP.PCAP.KD
923.569598841654,NY.GDP.PCAP.KD,ZMB,False,YR1986,NY.GDP.PCAP.KD
944.978125228216,NY.GDP.PCAP.KD,ZMB,False,YR1985,NY.GDP.PCAP.KD
958.390462425391,NY.GDP.PCAP.KD,ZMB,False,YR1984,NY.GDP.PCAP.KD
991.742559560597,NY.GDP.PCAP.KD,ZMB,False,YR1983,NY.GDP.PCAP.KD
1044.89867006715,NY.GDP.PCAP.KD,ZMB,False,YR1982,NY.GDP.PCAP.KD
1110.38631536339,NY.GDP.PCAP.KD,ZMB,False,YR1981,NY.GDP.PCAP.KD
1078.24612567658,NY.GDP.PCAP.KD,ZMB,False,YR1980,NY.GDP.PCAP.KD
1077.94347029558,NY.GDP.PCAP.KD,ZMB,False,YR1979,NY.GDP.PCAP.KD
1144.9783786408,NY.GDP.PCAP.KD,ZMB,False,YR1978,NY.GDP.PCAP.KD
1173.06456487842,NY.GDP.PCAP.KD,ZMB,False,YR1977,NY.GDP.PCAP.KD
1266.33922565547,NY.GDP.PCAP.KD,ZMB,False,YR1976,NY.GDP.PCAP.KD
1228.05696587334,NY.GDP.PCAP.KD,ZMB,False,YR1975,NY.GDP.PCAP.KD
1293.88679728153,NY.GDP.PCAP.KD,ZMB,False,YR1974,NY.GDP.PCAP.KD
1251.20361537157,NY.GDP.PCAP.KD,ZMB,False,YR1973,NY.GDP.PCAP.KD
1299.5829279437,NY.GDP.PCAP.KD,ZMB,False,YR1972,NY.GDP.PCAP.KD
1223.4431488623,NY.GDP.PCAP.KD,ZMB,False,YR1971,NY.GDP.PCAP.KD
1258.31393799087,NY.GDP.PCAP.KD,ZMB,False,YR1970,NY.GDP.PCAP.KD
1236.12767869458,NY.GDP.PCAP.KD,ZMB,False,YR1969,NY.GDP.PCAP.KD
1281.55935733218,NY.GDP.PCAP.KD,ZMB,False,YR1968,NY.GDP.PCAP.KD
1307.25033125472,NY.GDP.PCAP.KD,ZMB,False,YR1967,NY.GDP.PCAP.KD
1250.95270393714,NY.GDP.PCAP.KD,ZMB,False,YR1966,NY.GDP.PCAP.KD
1368.07826031189,NY.GDP.PCAP.KD,ZMB,False,YR1965,NY.GDP.PCAP.KD
1210.98844128914,NY.GDP.PCAP.KD,ZMB,False,YR1964,NY.GDP.PCAP.KD
1114.20742743315,NY.GDP.PCAP.KD,ZMB,False,YR1963,NY.GDP.PCAP.KD
1113.9472034122,NY.GDP.PCAP.KD,ZMB,False,YR1962,NY.GDP.PCAP.KD
1179.29787040992,NY.GDP.PCAP.KD,ZMB,False,YR1961,NY.GDP.PCAP.KD
1200.76374341336,NY.GDP.PCAP.KD,ZMB,False,YR1960,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR2023,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR2022,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR2021,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR2020,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR2019,NY.GDP.PCAP.KD
1194.82057626298,NY.GDP.PCAP.KD,YEM,False,YR2018,NY.GDP.PCAP.KD
1215.7526115488,NY.GDP.PCAP.KD,YEM,False,YR2017,NY.GDP.PCAP.KD
1313.97362669017,NY.GDP.PCAP.KD,YEM,False,YR2016,NY.GDP.PCAP.KD
1488.4162886442,NY.GDP.PCAP.KD,YEM,False,YR2015,NY.GDP.PCAP.KD
2123.93507057709,NY.GDP.PCAP.KD,YEM,False,YR2014,NY.GDP.PCAP.KD
2188.61722995275,NY.GDP.PCAP.KD,YEM,False,YR2013,NY.GDP.PCAP.KD
2148.46650983493,NY.GDP.PCAP.KD,YEM,False,YR2012,NY.GDP.PCAP.KD
2159.84517738734,NY.GDP.PCAP.KD,YEM,False,YR2011,NY.GDP.PCAP.KD
2547.64038304384,NY.GDP.PCAP.KD,YEM,False,YR2010,NY.GDP.PCAP.KD
2435.76695677353,NY.GDP.PCAP.KD,YEM,False,YR2009,NY.GDP.PCAP.KD
2415.52487016413,NY.GDP.PCAP.KD,YEM,False,YR2008,NY.GDP.PCAP.KD
2401.27922849953,NY.GDP.PCAP.KD,YEM,False,YR2007,NY.GDP.PCAP.KD
2395.1342821988,NY.GDP.PCAP.KD,YEM,False,YR2006,NY.GDP.PCAP.KD
2391.83224079796,NY.GDP.PCAP.KD,YEM,False,YR2005,NY.GDP.PCAP.KD
2329.3296373268,NY.GDP.PCAP.KD,YEM,False,YR2004,NY.GDP.PCAP.KD
2300.76262262505,NY.GDP.PCAP.KD,YEM,False,YR2003,NY.GDP.PCAP.KD
2277.23130422096,NY.GDP.PCAP.KD,YEM,False,YR2002,NY.GDP.PCAP.KD
2250.20418780298,NY.GDP.PCAP.KD,YEM,False,YR2001,NY.GDP.PCAP.KD
2227.65093540984,NY.GDP.PCAP.KD,YEM,False,YR2000,NY.GDP.PCAP.KD
2157.50362718081,NY.GDP.PCAP.KD,YEM,False,YR1999,NY.GDP.PCAP.KD
2138.80337231437,NY.GDP.PCAP.KD,YEM,False,YR1998,NY.GDP.PCAP.KD
2076.51153723722,NY.GDP.PCAP.KD,YEM,False,YR1997,NY.GDP.PCAP.KD
2032.00133769585,NY.GDP.PCAP.KD,YEM,False,YR1996,NY.GDP.PCAP.KD
2003.61345145071,NY.GDP.PCAP.KD,YEM,False,YR1995,NY.GDP.PCAP.KD
1963.18760688444,NY.GDP.PCAP.KD,YEM,False,YR1994,NY.GDP.PCAP.KD
1908.89462896013,NY.GDP.PCAP.KD,YEM,False,YR1993,NY.GDP.PCAP.KD
1905.92427246705,NY.GDP.PCAP.KD,YEM,False,YR1992,NY.GDP.PCAP.KD
1829.54268206055,NY.GDP.PCAP.KD,YEM,False,YR1991,NY.GDP.PCAP.KD
1788.2296533619,NY.GDP.PCAP.KD,YEM,False,YR1990,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1989,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1988,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1987,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1986,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1985,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1984,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1983,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1982,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1981,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1980,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1979,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1978,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1977,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1976,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1975,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1974,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1973,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1972,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1971,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1970,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1969,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1968,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1967,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1966,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1965,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1964,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1963,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1962,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1961,NY.GDP.PCAP.KD
,NY.GDP.PCAP.KD,YEM,False,YR1960,NY.GDP.PCAP.KD
2859.91937318215,NY.GDP.PCAP.KD,PSE,False,YR2023,NY.GDP.PCAP.KD
3099.9609010368,NY.GDP.PCAP.KD,PSE,False,YR2022,NY.GDP.PCAP.KD
3051.48607007995,NY.GDP.PCAP.KD,PSE,False,YR2021,NY.GDP.PCAP.KD
2922.46801084844,NY.GDP.PCAP.KD,PSE,False,YR2020,NY.GDP.PCAP.KD
3378.4346209191,NY.GDP.PCAP.KD,PSE,False,YR2019,NY.GDP.PCAP.KD
3417.79440837962,NY.GDP.PCAP.KD,PSE,False,YR2018,NY.GDP.PCAP.KD
3462.97986107136,NY.GDP.PCAP.KD,PSE,False,YR2017,NY.GDP.PCAP.KD
3483.09903532972,NY.GDP.PCAP.KD,PSE,False,YR2016,NY.GDP.PCAP.KD
3272.15432360708,NY.GDP.PCAP.KD,PSE,False,YR2015,NY.GDP.PCAP.KD
3227.84934482645,NY.GDP.PCAP.KD,PSE,False,YR2014,NY.GDP.PCAP.KD
3309.63120243098,NY.GDP.PCAP.KD,PSE,False,YR2013,NY.GDP.PCAP.KD
3237.91619995789,NY.GDP.PCAP.KD,PSE,False,YR2012,NY.GDP.PCAP.KD
3128.10811061384,NY.GDP.PCAP.KD,PSE,False,YR2011,NY.GDP.PCAP.KD
