value,series,economy,aggregate,time,indicator
,SP.DYN.LE00.IN,ZWE,False,YR2023,SP.DYN.LE00.IN
59.391,SP.DYN.LE00.IN,ZWE,False,YR2022,SP.DYN.LE00.IN
59.253,SP.DYN.LE00.IN,ZWE,False,YR2021,SP.DYN.LE00.IN
61.124,SP.DYN.LE00.IN,ZWE,False,YR2020,SP.DYN.LE00.IN
61.292,SP.DYN.LE00.IN,ZWE,False,YR2019,SP.DYN.LE00.IN
61.414,SP.DYN.LE00.IN,ZWE,False,YR2018,SP.DYN.LE00.IN
60.709,SP.DYN.LE00.IN,ZWE,False,YR2017,SP.DYN.LE00.IN
60.306,SP.DYN.LE00.IN,ZWE,False,YR2016,SP.DYN.LE00.IN
59.591,SP.DYN.LE00.IN,ZWE,False,YR2015,SP.DYN.LE00.IN
58.846,SP.DYN.LE00.IN,ZWE,False,YR2014,SP.DYN.LE00.IN
57.458,SP.DYN.LE00.IN,ZWE,False,YR2013,SP.DYN.LE00.IN
55.626,SP.DYN.LE00.IN,ZWE,False,YR2012,SP.DYN.LE00.IN
53.347,SP.DYN.LE00.IN,ZWE,False,YR2011,SP.DYN.LE00.IN
50.652,SP.DYN.LE00.IN,ZWE,False,YR2010,SP.DYN.LE00.IN
48.063,SP.DYN.LE00.IN,ZWE,False,YR2009,SP.DYN.LE00.IN
46.723,SP.DYN.LE00.IN,ZWE,False,YR2008,SP.DYN.LE00.IN
45.61,SP.DYN.LE00.IN,ZWE,False,YR2007,SP.DYN.LE00.IN
45.364,SP.DYN.LE00.IN,ZWE,False,YR2006,SP.DYN.LE00.IN
44.768,SP.DYN.LE00.IN,ZWE,False,YR2005,SP.DYN.LE00.IN
44.502,SP.DYN.LE00.IN,ZWE,False,YR2004,SP.DYN.LE00.IN
43.393,SP.DYN.LE00.IN,ZWE,False,YR2003,SP.DYN.LE00.IN
44.565,SP.DYN.LE00.IN,ZWE,False,YR2002,SP.DYN.LE00.IN
41.957,SP.DYN.LE00.IN,ZWE,False,YR2001,SP.DYN.LE00.IN
44.686,SP.DYN.LE00.IN,ZWE,False,YR2000,SP.DYN.LE00.IN
45.206,SP.DYN.LE00.IN,ZWE,False,YR1999,SP.DYN.LE00.IN
46.819,SP.DYN.LE00.IN,ZWE,False,YR1998,SP.DYN.LE00.IN
47.993,SP.DYN.LE00.IN,ZWE,False,YR1997,SP.DYN.LE00.IN
48.955,SP.DYN.LE00.IN,ZWE,False,YR1996,SP.DYN.LE00.IN
50.531,SP.DYN.LE00.IN,ZWE,False,YR1995,SP.DYN.LE00.IN
52.588,SP.DYN.LE00.IN,ZWE,False,YR1994,SP.DYN.LE00.IN
54.426,SP.DYN.LE00.IN,ZWE,False,YR1993,SP.DYN.LE00.IN
56.435,SP.DYN.LE00.IN,ZWE,False,YR1992,SP.DYN.LE00.IN
58.091,SP.DYN.LE00.IN,ZWE,False,YR1991,SP.DYN.LE00.IN
59.426,SP.DYN.LE00.IN,ZWE,False,YR1990,SP.DYN.LE00.IN
60.401,SP.DYN.LE00.IN,ZWE,False,YR1989,SP.DYN.LE00.IN
61.323,SP.DYN.LE00.IN,ZWE,False,YR1988,SP.DYN.LE00.IN
61.767,SP.DYN.LE00.IN,ZWE,False,YR1987,SP.DYN.LE00.IN
62.023,SP.DYN.LE00.IN,ZWE,False,YR1986,SP.DYN.LE00.IN
61.624,SP.DYN.LE00.IN,ZWE,False,YR1985,SP.DYN.LE00.IN
61.051,SP.DYN.LE00.IN,ZWE,False,YR1984,SP.DYN.LE00.IN
60.248,SP.DYN.LE00.IN,ZWE,False,YR1983,SP.DYN.LE00.IN
59.875,SP.DYN.LE00.IN,ZWE,False,YR1982,SP.DYN.LE00.IN
59.327,SP.DYN.LE00.IN,ZWE,False,YR1981,SP.DYN.LE00.IN
58.674,SP.DYN.LE00.IN,ZWE,False,YR1980,SP.DYN.LE00.IN
55.038,SP.DYN.LE00.IN,ZWE,False,YR1979,SP.DYN.LE00.IN
54.593,SP.DYN.LE00.IN,ZWE,False,YR1978,SP.DYN.LE00.IN
56.285,SP.DYN.LE00.IN,ZWE,False,YR1977,SP.DYN.LE00.IN
56.936,SP.DYN.LE00.IN,ZWE,False,YR1976,SP.DYN.LE00.IN
57.552,SP.DYN.LE00.IN,ZWE,False,YR1975,SP.DYN.LE00.IN
57.494,SP.DYN.LE00.IN,ZWE,False,YR1974,SP.DYN.LE00.IN
57.367,SP.DYN.LE00.IN,ZWE,False,YR1973,SP.DYN.LE00.IN
57.401,SP.DYN.LE00.IN,ZWE,False,YR1972,SP.DYN.LE00.IN
57.196,SP.DYN.LE00.IN,ZWE,False,YR1971,SP.DYN.LE00.IN
57.032,SP.DYN.LE00.IN,ZWE,False,YR1970,SP.DYN.LE00.IN
56.714,SP.DYN.LE00.IN,ZWE,False,YR1969,SP.DYN.LE00.IN
56.455,SP.DYN.LE00.IN,ZWE,False,YR1968,SP.DYN.LE00.IN
56.188,SP.DYN.LE00.IN,ZWE,False,YR1967,SP.DYN.LE00.IN
55.889,SP.DYN.LE00.IN,ZWE,False,YR1966,SP.DYN.LE00.IN
55.459,SP.DYN.LE00.IN,ZWE,False,YR1965,SP.DYN.LE00.IN
54.994,SP.DYN.LE00.IN,ZWE,False,YR1964,SP.DYN.LE00.IN
54.549,SP.DYN.LE00.IN,ZWE,False,YR1963,SP.DYN.LE00.IN
54.071,SP.DYN.LE00.IN,ZWE,False,YR1962,SP.DYN.LE00.IN
53.619,SP.DYN.LE00.IN,ZWE,False,YR1961,SP.DYN.LE00.IN
53.235,SP.DYN.LE00.IN,ZWE,False,YR1960,SP.DYN.LE00.IN
,SP.DYN.LE00.IN,ZMB,False,YR2023,SP.DYN.LE00.IN
61.803,SP.DYN.LE00.IN,ZMB,False,YR2022,SP.DYN.LE00.IN
61.223,SP.DYN.LE00.IN,ZMB,False,YR2021,SP.DYN.LE00.IN
62.38,SP.DYN.LE00.IN,ZMB,False,YR2020,SP.DYN.LE00.IN
62.793,SP.DYN.LE00.IN,ZMB,False,YR2019,SP.DYN.LE00.IN
62.342,SP.DYN.LE00.IN,ZMB,False,YR2018,SP.DYN.LE00.IN
62.12,SP.DYN.LE00.IN,ZMB,False,YR2017,SP.DYN.LE00.IN
61.794,SP.DYN.LE00.IN,ZMB,False,YR2016,SP.DYN.LE00.IN
61.208,SP.DYN.LE00.IN,ZMB,False,YR2015,SP.DYN.LE00.IN
60.699,SP.DYN.LE00.IN,ZMB,False,YR2014,SP.DYN.LE00.IN
59.878,SP.DYN.LE00.IN,ZMB,False,YR2013,SP.DYN.LE00.IN
58.867,SP.DYN.LE00.IN,ZMB,False,YR2012,SP.DYN.LE00.IN
57.771,SP.DYN.LE00.IN,ZMB,False,YR2011,SP.DYN.LE00.IN
56.799,SP.DYN.LE00.IN,ZMB,False,YR2010,SP.DYN.LE00.IN
55.3,SP.DYN.LE00.IN,ZMB,False,YR2009,SP.DYN.LE00.IN
53.945,SP.DYN.LE00.IN,ZMB,False,YR2008,SP.DYN.LE00.IN
52.739,SP.DYN.LE00.IN,ZMB,False,YR2007,SP.DYN.LE00.IN
51.795,SP.DYN.LE00.IN,ZMB,False,YR2006,SP.DYN.LE00.IN
